protein,chain,carb_name,carb_id,group
7E6X,E,NAG,1;2,opsin
7PNB,J,NAG,1;2,filament
7PNB,J,YZT,3,filament
7PNB,J,BGC,4,filament
7PNB,J,MAN,5;6,filament
7PNB,K,NAG,1;2,filament
7PNB,K,YZT,3,filament
7PNB,K,MAN,4,filament
7PNB,L,NAG,1;2,filament
7PNB,L,YZT,3,filament
7PNB,L,BGC,4,filament
7PNB,L,MAN,5;6,filament
7PNB,M,NAG,1;2,filament
7PNB,M,YZT,3,filament
7PNB,M,BGC,4,filament
7PNB,M,MAN,5;6,filament
7PNB,N,NAG,1;2,filament
7PNB,N,YZT,3,filament
7PNB,N,BGC,4,filament
7PNB,N,MAN,5;6,filament
7PNB,O,NAG,1;2,filament
7PNB,O,YZT,3,filament
7PNB,O,BGC,4,filament
7PNB,O,MAN,5;6,filament
7PNB,P,NAG,1;2,filament
7PNB,P,YZT,3,filament
7PNB,P,MAN,4,filament
7PNB,Q,NAG,1;2,filament
7PNB,Q,YZT,3,filament
7PNB,Q,BGC,4,filament
7PNB,Q,MAN,5;6,filament
7PNB,R,NAG,1;2,filament
7PNB,R,YZT,3,filament
7PNB,R,BGC,4,filament
7PNB,R,MAN,5;6,filament
7PNB,S,NAG,1;2,filament
7PNB,S,YZT,3,filament
7PNB,S,BGC,4,filament
7PNB,S,MAN,5;6,filament
7PNB,T,NAG,1;2,filament
7PNB,T,YZT,3,filament
7PNB,T,BGC,4,filament
7PNB,T,MAN,5;6,filament
7PNB,U,NAG,1;2,filament
7PNB,U,YZT,3,filament
7PNB,U,MAN,4,filament
7PNB,V,NAG,1;2,filament
7PNB,V,YZT,3,filament
7PNB,V,BGC,4,filament
7PNB,V,MAN,5;6,filament
7PNB,W,NAG,1;2,filament
7PNB,W,YZT,3,filament
7PNB,W,BGC,4,filament
7PNB,W,MAN,5;6,filament
7PNB,X,NAG,1;2,filament
7PNB,X,YZT,3,filament
7PNB,X,BGC,4,filament
7PNB,X,MAN,5;6,filament
7PNB,Y,NAG,1;2,filament
7PNB,Y,YZT,3,filament
7PNB,Y,BGC,4,filament
7PNB,Y,MAN,5;6,filament
7PNB,Z,NAG,1;2,filament
7PNB,Z,YZT,3,filament
7PNB,Z,MAN,4,filament
7PNB,a,NAG,1;2,filament
7PNB,a,YZT,3,filament
7PNB,a,BGC,4,filament
7PNB,a,MAN,5;6,filament
7PNB,b,NAG,1;2,filament
7PNB,b,YZT,3,filament
7PNB,b,BGC,4,filament
7PNB,b,MAN,5;6,filament
7PNB,c,NAG,1;2,filament
7PNB,c,YZT,3,filament
7PNB,c,BGC,4,filament
7PNB,c,MAN,5;6,filament
7PNB,d,NAG,1;2,filament
7PNB,d,YZT,3,filament
7PNB,d,BGC,4,filament
7PNB,d,MAN,5;6,filament
7PNB,e,NAG,1;2,filament
7PNB,e,YZT,3,filament
7PNB,e,MAN,4,filament
7PNB,f,NAG,1;2,filament
7PNB,f,YZT,3,filament
7PNB,f,BGC,4,filament
7PNB,f,MAN,5;6,filament
7PNB,g,NAG,1;2,filament
7PNB,g,YZT,3,filament
7PNB,g,BGC,4,filament
7PNB,g,MAN,5;6,filament
7PNB,h,NAG,1;2,filament
7PNB,h,YZT,3,filament
7PNB,h,BGC,4,filament
7PNB,h,MAN,5;6,filament
7PNB,i,NAG,1;2,filament
7PNB,i,YZT,3,filament
7PNB,i,BGC,4,filament
7PNB,i,MAN,5;6,filament
7PNB,j,NAG,1;2,filament
7PNB,j,YZT,3,filament
7PNB,j,MAN,4,filament
7PNB,k,NAG,1;2,filament
7PNB,k,YZT,3,filament
7PNB,k,BGC,4,filament
7PNB,k,MAN,5;6,filament
7PNB,l,NAG,1;2,filament
7PNB,l,YZT,3,filament
7PNB,l,BGC,4,filament
7PNB,l,MAN,5;6,filament
7PNB,m,NAG,1;2,filament
7PNB,m,YZT,3,filament
7PNB,m,BGC,4,filament
7PNB,m,MAN,5;6,filament
7PNB,n,NAG,1;2,filament
7PNB,n,YZT,3,filament
7PNB,n,BGC,4,filament
7PNB,n,MAN,5;6,filament
7PNB,o,NAG,1;2,filament
7PNB,o,YZT,3,filament
7PNB,o,BGC,4,filament
7PNB,p,NAG,1;2,filament
7PNB,p,YZT,3,filament
7PNB,p,BGC,4,filament
7PNB,p,MAN,5;6,filament
7PNB,q,NAG,1;2,filament
7PNB,q,YZT,3,filament
7PNB,q,BGC,4,filament
7PNB,q,MAN,5;6,filament
7PNB,r,NAG,1;2,filament
7PNB,r,YZT,3,filament
7PNB,r,BGC,4,filament
7PNB,r,MAN,5;6,filament
7PNB,s,NAG,1;2,filament
7PNB,s,YZT,3,filament
7PNB,s,BGC,4,filament
7PNB,s,MAN,5;6,filament
7PNB,t,NAG,1;2,filament
7PNB,t,YZT,3,filament
7PNB,t,BGC,4,filament
7PNB,u,NAG,1;2,filament
7PNB,u,YZT,3,filament
7PNB,u,BGC,4,filament
7PNB,u,MAN,5;6,filament
7PNB,v,NAG,1;2,filament
7PNB,v,YZT,3,filament
7PNB,v,BGC,4,filament
7PNB,v,MAN,5;6,filament
7PNB,w,NAG,1;2,filament
7PNB,w,YZT,3,filament
7PNB,w,BGC,4,filament
7PNB,w,MAN,5;6,filament
7PNB,x,NAG,1;2,filament
7PNB,x,YZT,3,filament
7PNB,x,BGC,4,filament
7PNB,x,MAN,5;6,filament
7PNB,y,NAG,1;2,filament
7PNB,y,YZT,3,filament
7PNB,y,BGC,4,filament
7PNB,z,NAG,1;2,filament
7PNB,z,YZT,3,filament
7PNB,z,BGC,4,filament
7PNB,z,MAN,5;6,filament
7PNB,0,NAG,1;2,filament
7PNB,0,YZT,3,filament
7PNB,0,BGC,4,filament
7PNB,0,MAN,5;6,filament
7PNB,1,NAG,1;2,filament
7PNB,1,YZT,3,filament
7PNB,1,BGC,4,filament
7PNB,1,MAN,5;6,filament
